A series of escapades demonstrating the adage that what is good for the goose is also good for the gander  some of which occasionally amuses but none of which amounts to much of a story ;1
This quiet  introspective and entertaining independent is worth seeking ;4
Even fans of Ismail Merchant s work  I suspect  would have a hard time sitting through this one ;1
A positively thrilling combination of ethnography and all the intrigue  betrayal  deceit and murder of a Shakespearean tragedy or a juicy soap opera ;3
Aggressive self  glorification and a manipulative whitewash ;1
A comedy  drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis ;4
Narratively  Trouble Every Day is a plodding mess ;1
The Importance of Being Earnest  so thick with wit it plays like a reading from Bartlett s Familiar Quotations;3
But it does nt leave you with much ;1
You could hate it for the same reason ;1
There s little to recommend Snow Dogs  unless one considers cliched dialogue and perverse escapism a source of high hilarity ;1
Kung Pow is Oedekerk s realization of his childhood dream to be in a martial  arts flick  and proves that sometimes the dreams of youth should remain just that ;1
The performances are an absolute joy ;4
Fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense ;3
I still like Moonlight Mile  better judgment be damned ;3
A welcome relief from baseball movies that try too hard to be mythic  this one is a sweet and modest and ultimately winning story ;3
a bilingual charmer  just like the woman who inspired it;3
Like a less dizzily gorgeous companion to Mr Wong s In the Mood for Love    very much a Hong Kong movie despite its mainland setting ;2
As inept as big  screen remakes of The Avengers and The Wild Wild West ;1
It s everything you d expect    but nothing more ;2
Best indie of the year  so far ;4
Hatfield and Hicks make the oddest of couples  and in this sense the movie becomes a study of the gambles of the publishing world  offering a case study that exists apart from all the movie s political ramifications ;3
It s like going to a house party and watching the host defend himself against a frothing ex  girlfriend ;1
That the Chuck Norris  grenade gag  occurs about 7 times during Windtalkers is a good indication of how serious  minded the film is ;2
The plot is romantic comedy boilerplate from start to finish ;2
It arrives with an impeccable pedigree  mongrel pep  and almost indecipherable plot complications ;2
A film that clearly means to preach exclusively to the converted ;2
While The Importance of Being Earnest offers opportunities for occasional smiles and chuckles  it does nt give us a reason to be in the theater beyond Wilde s wit and the actors  performances ;1
The latest vapid actor s exercise to appropriate the structure of Arthur Schnitzler s Reigen ;1
More vaudeville show than well  constructed narrative  but on those terms it s inoffensive and actually rather sweet ;2
Nothing more than a run  of  the  mill action flick ;2
Hampered    no  paralyzed    by a self  indulgent script   that aims for poetry and ends up sounding like satire ;0
Ice Age is the first computer  generated feature cartoon to feel like other movies  and that makes for some glacial pacing early on ;2
There s very little sense to what s going on here  but the makers serve up the cliches with considerable dash ;2
Cattaneo should have followed the runaway success of his first film  The Full Monty  with something different ;2
They re the unnamed  easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid ;1
It almost feels as if the movie is more interested in entertaining itself than in amusing us ;1
The movie s progression into rambling incoherence gives new meaning to the phrase fatal script error  ;0
Do nt judge this one too soon    it s a dark  gritty story but it takes off in totally unexpected directions and keeps on going ;3
So could young romantics out on a date ;3
Tartakovsky s team has some freakish powers of visual charm  but the five writers slip into the modern rut of narrative banality ;0
Vincent Gallo is right at home in this French shocker playing his usual bad boy weirdo role ;3
If a horror movie s primary goal is to frighten and disturb  then They works spectacularly well   A shiver  inducing  nerve  rattling ride ;4
This 100  minute movie only has about 25 minutes of decent material ;1
Fortunately  you still have that option ;2
Less the sensational true  crime hell  jaunt purists might like and more experimental in its storytelling   LRB   though no less horrifying for it   RRB   ;3
As tricky and satisfying as any of David Mamet s airless cinematic shell games ;3
I m sure the filmmaker would disagree  but  honestly  I do nt see the point ;1
Jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers ;4
Bloody Sunday has the grace to call for prevention rather than to place blame  making it one of the best war movies ever made ;4
Takes a clunky TV  movie approach to detailing a chapter in the life of the celebrated Irish playwright  poet and drinker ;1
Finally coming down off of Miramax s deep shelves after a couple of aborted attempts  Waking Up in Reno makes a strong case for letting sleeping dogs lie ;2
Thanks largely to Williams  all the interesting developments are processed in 60 minutes    the rest is just an overexposed waste of film ;0
Comes across as a relic from a bygone era  and its convolutions   feel silly rather than plausible ;0
Perhaps it s cliche to call the film refreshing   but it is ;4
Both lead performances are Oscar  size ;4
Run for your lives !;0
Mark Pellington s latest pop thriller is as kooky and overeager as it is spooky and subtly in love with myth ;3
Claude Chabrol s camera has a way of gently swaying back and forth as it cradles its characters  veiling tension beneath otherwise tender movements ;3
Transforms one of   LRB   Shakespeare s   RRB   deepest tragedies into a smart new comedy ;3
The screenplay by James Eric  James Horton and director Peter OFallon   is so pat it makes your teeth hurt ;1
But arriving at a particularly dark moment in history  it offers flickering reminders of the ties that bind us ;3
Its generic villains lack any intrigue   LRB   other than their funny accents   RRB   and the action scenes are poorly delivered ;1
The characters are more deeply thought through than in most right  thinking  films ;3
The film  despite the gratuitous cinematic distractions impressed upon it  is still good fun ;3
Downright transparent is the script s endless assault of embarrassingly ham  fisted sex jokes that reek of a script rewrite designed to garner the film a  cooler  PG  13 rating ;0
A smart  provocative drama that does the nearly impossible : It gets under the skin of a man we only know as an evil  monstrous lunatic ;4
It s like a drive  by ;1
is many things    stoner midnight flick  sci  fi deconstruction  gay fantasia    but above all it s a love story as sanguine as its title ;3
A very funny romantic comedy about two skittish New York middle  agers who stumble into a relationship and then struggle furiously with their fears and foibles ;3
But it has an ambition to say something about its subjects  but not a willingness ;1
  LRB   Scherfig   RRB   has made a movie that will leave you wondering about the characters  lives after the clever credits roll ;3
  LRB   An   RRB   absorbing documentary ;3
Reeks of rot and hack work from start to finish ;2
Plays like a series of vignettes    clips of a film that are still looking for a common through  line ;1
;1
The major problem with Windtalkers is that the bulk of the movie centers on the wrong character ;1
Swimfan  like Fatal Attraction  eventually goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub ;2
This is a heartfelt story   it just is nt a very involving one ;1
An unsettling  memorable cinematic experience that does its predecessors proud ;4
All in all  it s a pretty good execution of a story that s a lot richer than the ones Hollywood action screenwriters usually come up with on their own ;3
Phillip Noyce and all of his actors    as well as his cinematographer  Christopher Doyle    understand the delicate forcefulness of Greene s prose  and it s there on the screen in their version of The Quiet American ;3
The Pianist lacks the quick emotional connections of Steven Spielberg s Schindler s List ;2
Inventive  fun  intoxicatingly sexy  violent  self  indulgent and maddening ;3
Tells a fascinating  compelling story ;4
Written  flatly  by David Kendall and directed  barely  by There s Something About Mary co  writer Ed Decter ;1
Highly recommended viewing for its courage  ideas  technical proficiency and great acting ;4
In IMAX in short  it s just as wonderful on the big screen ;4
It shows us a slice of life that s very different from our own and yet instantly recognizable ;3
Amid the shock and curiosity factors  the film is just a corny examination of a young actress trying to find her way ;1
It s lazy for a movie to avoid solving one problem by trying to distract us with the solution to another ;2
  it s as comprehensible as any Dummies guide  something even non  techies can enjoy ;3
Entertains not so much because of its music or comic antics  but through the perverse pleasure of watching Disney scrape the bottom of its own cracker barrel ;1
Writer\/director Burr Steers emphasizes the Q in Quirky  with mixed results ;3
Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company ;0
Invigorating  surreal  and resonant with a rainbow of emotion ;4
 Analyze That  is one of those crass  contrived sequels that not only fails on its own  but makes you second  guess your affection for the original ;0
Report card : Does nt live up to the exalted tagline    there s definite room for improvement ;1
It s not a particularly good film  but neither is it a monsterous one ;2
Tsai may be ploughing the same furrow once too often ;2
  LRB   Green is   RRB   the comedy equivalent of Saddam Hussein  and I m just about ready to go to the UN and ask permission for a preemptive strike ;1
A surprisingly solid  achievement by director Malcolm D Lee and writer John Ridley ;3
Massoud s story is an epic  but also a tragedy  the record of a tenacious  humane fighter who was also the prisoner   LRB   and ultimately the victim   RRB   of history ;2
Changing Lanes tries for more ;3
Shyamalan should stop trying to please his mom ;1
A macabre and very stylized Swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters ;3
One of recent memory s most thoughtful films about art  ethics  and the cost of moral compromise ;4
The narrative is so consistently unimaginative that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys ;2
Filmmaker Tian Zhuangzhuang triumphantly returns to narrative filmmaking with a visually masterful work of quiet power ;4
A mawkish self  parody that plays like some weird Masterpiece Theater sketch with neither a point of view nor a compelling reason for being ;1
